Species,Sepal_Length
匹配度,0.81
匹配度,0.89
匹配度,0.85
匹配度,0.86
匹配度,0.8
匹配度,0.89
匹配度,0.49
匹配度,0.89
匹配度,0.89
匹配度,0.89
匹配度,0.47
匹配度,0.82
匹配度,0.89
匹配度,0.84
匹配度,0.8
匹配度,0.89
匹配度,0.89
匹配度,0.9
匹配度,0.83
匹配度,0.89
匹配度,0.89
匹配度,0.89
匹配度,0.89
匹配度,0.81
匹配度,0.89
匹配度,0.89
匹配度,0.89
匹配度,0.85
匹配度,0.87
匹配度,0.89
匹配度,0.87
匹配度,0.9
匹配度,0.86
匹配度,0.89
匹配度,0.87
匹配度,0.9
匹配度,0.87
匹配度,0.85
匹配度,0.84
匹配度,0.89
匹配度,0.89
匹配度,0.89
匹配度,0.9
匹配度,0.89
匹配度,0.84
匹配度,0.9
匹配度,0.9
匹配度,0.89
匹配度,0.89
匹配度,0.89
匹配度,0.89
匹配度,0.9
匹配度,0.89
匹配度,0.89
匹配度,0.89
匹配度,0.89
匹配度,0.47
匹配度,0.9
匹配度,0.89
匹配度,0.57
匹配度,0.89
匹配度,0.9
匹配度,0.86
匹配度,0.9
匹配度,0.89
匹配度,0.86
匹配度,0.65
匹配度,0.82
匹配度,0.89
匹配度,0.89
匹配度,0.89
匹配度,0.89
匹配度,0.57
匹配度,0.84
匹配度,0.84
匹配度,0.57
匹配度,0.9
匹配度,0.65
匹配度,0.89
匹配度,0.85
匹配度,0.84
匹配度,0.89
匹配度,0.9
匹配度,0.89
匹配度,0.89
匹配度,0.89
匹配度,0.84
匹配度,0.89
匹配度,0.87
匹配度,0.89
匹配度,0.9
匹配度,0.9
匹配度,0.89
匹配度,0.89
匹配度,0.85
匹配度,0.89
匹配度,0.86
匹配度,0.89
匹配度,0.89
匹配度,0.89
匹配度,0.89
匹配度,0.89
匹配度,0.87
匹配度,0.9
匹配度,0.89
匹配度,0.89
匹配度,0.89
匹配度,0.9
匹配度,0.9
匹配度,0.89
匹配度,0.89
匹配度,0.9
匹配度,0.89
匹配度,0.87
匹配度,0.89
匹配度,0.85
匹配度,0.89
匹配度,0.89
匹配度,0.49
匹配度,0.9
匹配度,0.82
匹配度,0.87
匹配度,0.84
匹配度,0.89
匹配度,0.75
匹配度,0.89
匹配度,0.86
匹配度,0.89
匹配度,0.86
匹配度,0.84
匹配度,0.86
匹配度,0.45
匹配度,0.9
匹配度,0.82
匹配度,0.53
匹配度,0.42
匹配度,0.89
匹配度,0.89
匹配度,0.84
匹配度,0.89
匹配度,0.8
匹配度,0.89
匹配度,0.89
匹配度,0.89
匹配度,0.9
匹配度,0.89
匹配度,0.84
匹配度,0.56
匹配度,0.84
匹配度,0.9
匹配度,0.9
匹配度,0.89
匹配度,0.89
匹配度,0.89
匹配度,0.9
匹配度,0.89
匹配度,0.89
匹配度,0.89
匹配度,0.89
匹配度,0.84
匹配度,0.89
匹配度,0.89
匹配度,0.85
匹配度,0.84
匹配度,0.76
匹配度,0.89
匹配度,0.89
匹配度,0.89
匹配度,0.9
匹配度,0.89
匹配度,0.9
匹配度,0.9
匹配度,0.9
匹配度,0.9
匹配度,0.9
匹配度,0.9
匹配度,0.9
匹配度,0.9
匹配度,0.89
匹配度,0.84
匹配度,0.89
匹配度,0.9
匹配度,0.9
匹配度,0.9
匹配度,0.89
匹配度,0.89
匹配度,0.86
匹配度,0.89
匹配度,0.87
匹配度,0.89
匹配度,0.89
匹配度,0.86
匹配度,0.9
匹配度,0.9
匹配度,0.89
匹配度,0.89
匹配度,0.89
匹配度,0.84
匹配度,0.89
匹配度,0.89
匹配度,0.86
匹配度,0.84
匹配度,0.85
匹配度,0.82
匹配度,0.86
匹配度,0.89
匹配度,0.84
匹配度,0.86
匹配度,0.79
匹配度,0.69
匹配度,0.84
匹配度,0.89
匹配度,0.82
匹配度,0.69
匹配度,0.81
匹配度,0.81
匹配度,0.78
匹配度,0.83
匹配度,0.86
匹配度,0.86
匹配度,0.81
匹配度,0.81
匹配度,0.79
匹配度,0.83
匹配度,0.79
匹配度,0.85
匹配度,0.86
匹配度,0.83
匹配度,0.89
匹配度,0.81
匹配度,0.89
匹配度,0.89
匹配度,0.76
匹配度,0.86
匹配度,0.89
匹配度,0.81
匹配度,0.83
匹配度,0.9
匹配度,0.76
匹配度,0.71
匹配度,0.78
匹配度,0.89
匹配度,0.7
匹配度,0.89
匹配度,0.81
匹配度,0.89
匹配度,0.81
匹配度,0.89
匹配度,0.89
匹配度,0.79
匹配度,0.91
匹配度,0.91
匹配度,0.86
匹配度,0.86
匹配度,0.86
匹配度,0.81
匹配度,0.86
匹配度,0.86
匹配度,0.92
匹配度,0.89
匹配度,0.7
匹配度,0.89
匹配度,0.81
匹配度,0.89
匹配度,0.81
匹配度,0.88
匹配度,0.91
匹配度,0.89
匹配度,0.89
匹配度,0.81
匹配度,0.81
匹配度,0.86
匹配度,0.89
匹配度,0.89
匹配度,0.83
匹配度,0.86
匹配度,0.79
匹配度,0.89
匹配度,0.7
匹配度,0.79
匹配度,0.89
匹配度,0.86
匹配度,0.81
匹配度,0.81
匹配度,0.76
匹配度,0.79
匹配度,0.86
匹配度,0.83
匹配度,0.83
匹配度,0.83
匹配度,0.86
匹配度,0.86
匹配度,0.81
匹配度,0.91
匹配度,0.81
匹配度,0.86
匹配度,0.86
匹配度,0.79
匹配度,0.89
匹配度,0.83
匹配度,0.89
匹配度,0.8
匹配度,0.89
匹配度,0.81
匹配度,0.92
匹配度,0.83
匹配度,0.83
匹配度,0.8
匹配度,0.89
匹配度,0.91
匹配度,0.89
匹配度,0.89
匹配度,0.86
匹配度,0.89
匹配度,0.91
匹配度,0.9
匹配度,0.89
匹配度,0.89
匹配度,0.86
匹配度,0.8
匹配度,0.83
匹配度,0.81
匹配度,0.89
匹配度,0.79
匹配度,0.86
匹配度,0.88
匹配度,0.83
匹配度,0.87
匹配度,0.91
匹配度,0.81
匹配度,0.88
匹配度,0.88
匹配度,0.82
匹配度,0.88
匹配度,0.92
匹配度,0.92
匹配度,0.88
匹配度,0.85
匹配度,0.87
匹配度,0.85
匹配度,0.88
匹配度,0.88
匹配度,0.91
匹配度,0.86
匹配度,0.91
匹配度,0.9
匹配度,0.9
匹配度,0.9
匹配度,0.92
匹配度,0.88
匹配度,0.86
匹配度,0.92
匹配度,0.88
匹配度,0.88
匹配度,0.88
匹配度,0.8
匹配度,0.92
匹配度,0.88
匹配度,0.84
匹配度,0.87
匹配度,0.88
匹配度,0.88
匹配度,0.84
匹配度,0.91
匹配度,0.91
匹配度,0.86
匹配度,0.86
匹配度,0.88
匹配度,0.88
匹配度,0.87
匹配度,0.91
匹配度,0.88
匹配度,0.9
匹配度,0.75
匹配度,0.86
匹配度,0.71
匹配度,0.81
匹配度,0.86
匹配度,0.77
匹配度,0.86
匹配度,0.87
匹配度,0.9
匹配度,0.87
匹配度,0.85
匹配度,0.91
匹配度,0.91
匹配度,0.87
匹配度,0.86
匹配度,0.9
匹配度,0.91
匹配度,0.92
匹配度,0.88
匹配度,0.86
匹配度,0.91
匹配度,0.91
匹配度,0.87
匹配度,0.87
匹配度,0.89
匹配度,0.88
匹配度,0.9
匹配度,0.86
匹配度,0.9
匹配度,0.87
匹配度,0.88
匹配度,0.85
匹配度,0.88
匹配度,0.87
匹配度,0.85
匹配度,0.88
匹配度,0.86
匹配度,0.84
匹配度,0.8
匹配度,0.85
匹配度,0.88
匹配度,0.86
匹配度,0.9
匹配度,0.94
匹配度,0.9
匹配度,0.92
匹配度,0.87
匹配度,0.87
匹配度,0.86
匹配度,0.87
匹配度,0.91
匹配度,0.92
匹配度,0.88
匹配度,0.87
匹配度,0.87
匹配度,0.8
匹配度,0.81
匹配度,0.92
匹配度,0.92
匹配度,0.85
匹配度,0.9
匹配度,0.88
匹配度,0.9
匹配度,0.9
匹配度,0.86
匹配度,0.9
匹配度,0.87
匹配度,0.9
匹配度,0.92
匹配度,0.91
匹配度,0.94
匹配度,0.87
匹配度,0.82
匹配度,0.87
匹配度,0.87
匹配度,0.9
匹配度,0.85
匹配度,0.94
匹配度,0.68
匹配度,0.92
匹配度,0.86
匹配度,0.94
匹配度,0.8
匹配度,0.93
匹配度,0.63
匹配度,0.9
匹配度,0.91
匹配度,0.86
匹配度,0.9
匹配度,0.82
匹配度,0.92
匹配度,0.89
匹配度,0.86
匹配度,0.93
匹配度,0.93
匹配度,0.91
匹配度,0.84
匹配度,0.92
匹配度,0.92
匹配度,0.91
匹配度,0.88
匹配度,0.81
匹配度,0.85
匹配度,0.86
匹配度,0.85
匹配度,0.83
匹配度,0.88
匹配度,0.92
匹配度,0.86
匹配度,0.86
匹配度,0.88
匹配度,0.88
匹配度,0.87
匹配度,0.88
匹配度,0.83
匹配度,0.88
匹配度,0.86
匹配度,0.88
匹配度,0.88
匹配度,0.87
匹配度,0.88
匹配度,0.85
匹配度,0.91
匹配度,0.88
匹配度,0.91
匹配度,0.87
匹配度,0.87
匹配度,0.88
匹配度,0.9
匹配度,0.91
匹配度,0.88
匹配度,0.92
匹配度,0.88
匹配度,0.86
匹配度,0.86
匹配度,0.88
匹配度,0.88
匹配度,0.91
匹配度,0.86
匹配度,0.88
匹配度,0.92
匹配度,0.87
匹配度,0.87
匹配度,0.9
匹配度,0.9
匹配度,0.88
匹配度,0.86
匹配度,0.86
匹配度,0.81
匹配度,0.91
匹配度,0.88
匹配度,0.89
匹配度,0.87
匹配度,0.9
匹配度,0.89
匹配度,0.85
匹配度,0.92
匹配度,0.92
匹配度,0.86
匹配度,0.84
匹配度,0.9
匹配度,0.9
匹配度,0.9
匹配度,0.87
匹配度,0.9
匹配度,0.86
匹配度,0.91
匹配度,0.86
匹配度,0.87
匹配度,0.87
匹配度,0.92
匹配度,0.88
匹配度,0.91
匹配度,0.86
匹配度,0.92
匹配度,0.82
匹配度,0.86
匹配度,0.87
匹配度,0.91
匹配度,0.72
匹配度,0.77
匹配度,0.92
匹配度,0.74
匹配度,0.86
匹配度,0.81
匹配度,0.86
匹配度,0.91
匹配度,0.8
匹配度,0.86
匹配度,0.86
